ticker,score,closing_strength,afternoon_power,vol_pace,persist_count,liq_bucket,vol_bucket,gap_bucket,pi_S0_S1,pi_S1_S2,pi_S2_S3,p_eod,p_am3,p_d2,p_chain,alpha
LPKR.JK,6.959,1.0,0.317,56.59,2,9,4,up,0.657,0.292,0.813,0.69,0.469,0.784,0.252,0.61
BBKP.JK,4.457,1.0,0.308,11.49,2,9,3,up,0.657,0.292,0.813,0.687,0.459,0.785,0.241,0.62
BVIC.JK,4.48,0.971,0.297,13.6,2,9,4,up,0.657,0.292,0.813,0.682,0.455,0.778,0.235,0.62
RELI.JK,4.929,1.0,0.042,43.3,3,6,9,up,0.657,0.292,0.813,0.675,0.453,0.77,0.234,0.61
BABP.JK,3.939,1.0,0.228,13.62,2,9,3,down,0.657,0.292,0.813,0.679,0.452,0.776,0.232,0.62
PSKT.JK,4.471,1.0,0.095,40.72,2,8,2,flat,0.647,0.269,0.781,0.658,0.429,0.739,0.207,0.61
JECC.JK,5.06,1.0,0.03,51.7,3,7,8,up,0.464,0.331,0.684,0.557,0.476,0.69,0.182,0.61
BKSW.JK,3.846,0.786,0.161,38.51,2,8,3,flat,0.661,0.292,0.753,0.632,0.408,0.688,0.176,0.61
KICI.JK,3.95,0.667,0.229,113.16,2,8,4,flat,0.647,0.287,0.753,0.607,0.39,0.671,0.158,0.6
UNSP.JK,4.097,1.0,0.007,62.24,1,6,2,up,0.413,0.347,0.744,0.487,0.447,0.687,0.149,0.6
