Rekomendasi Singkat,Kode Saham,Skor Sistem,Kekuatan Menjelang Tutup,Dorongan Sore,Konsistensi Muncul,Kecepatan Volume,Peluang Bertahan sampai Tutup,Peluang Naik ≥3% Besok Pagi,Peluang Lanjut Naik Lusa,Peluang Total Berantai,Kelompok Likuiditas,Kelompok Volatilitas,Arah Buka,Rata-rata: Bertahan sampai Tutup,Rata-rata: Naik ≥3% Besok Pagi,Rata-rata: Lanjut Naik Lusa
beli keluar lusa,LPKR.JK,6.959,1.0,0.317,2,56.59,0.69,0.469,0.784,0.252,9,4,up,0.657,0.292,0.813
beli keluar lusa,BBKP.JK,4.457,1.0,0.308,2,11.49,0.687,0.459,0.785,0.241,9,3,up,0.657,0.292,0.813
neutral,BVIC.JK,4.48,0.971,0.297,2,13.6,0.682,0.455,0.778,0.235,9,4,up,0.657,0.292,0.813
neutral,RELI.JK,4.929,1.0,0.042,3,43.3,0.675,0.453,0.77,0.234,6,9,up,0.657,0.292,0.813
skip,BABP.JK,3.939,1.0,0.228,2,13.62,0.679,0.452,0.776,0.232,9,3,down,0.657,0.292,0.813
skip,PSKT.JK,4.471,1.0,0.095,2,40.72,0.658,0.429,0.739,0.207,8,2,flat,0.647,0.269,0.781
skip,JECC.JK,5.06,1.0,0.03,3,51.7,0.557,0.476,0.69,0.182,7,8,up,0.464,0.331,0.684
skip,BKSW.JK,3.846,0.786,0.161,2,38.51,0.632,0.408,0.688,0.176,8,3,flat,0.661,0.292,0.753
skip,KICI.JK,3.95,0.667,0.229,2,113.16,0.607,0.39,0.671,0.158,8,4,flat,0.647,0.287,0.753
skip,UNSP.JK,4.097,1.0,0.007,1,62.24,0.487,0.447,0.687,0.149,6,2,up,0.413,0.347,0.744
